Repository,Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
seaborn,01fb7bb1bf20d7bd0335721ab9f5c733baac2fe4,6664,22,2,28,76,6584,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,01fddcfa8724ff0e9aea475d9370051a0f5ef73c,6552,22,2,28,76,6472,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,03d703b80f0fcc20a037d476af0d1fb25b5f3870,6682,22,2,28,76,6602,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,056413d7393e3daec597d430c076e45938d53376,6694,22,2,28,76,6614,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,07711372d1b7bdd2dd30a1546bbcd1de55232165,6550,22,2,28,76,6470,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,082486d8505cee37416a855da65ff6349c7259e2,6566,22,2,28,76,6486,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,09195d4c314d9477866ba4bd5cb650c3a7c01e41,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,0a64c1aec2ecabe8d7f9b3c616f4f793b0b74f94,6556,22,2,28,76,6476,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,0d46709b4a96f464070a4c635323b3d10315afed,6650,22,2,28,76,6570,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,129ce703052ff56f27014a0d8e4e6203b531b7a8,6764,22,2,28,74,6686,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,132440b1dae70a381136e99de93698303379a05f,6664,22,2,28,76,6584,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,1617be03dc8f6c2977dbb31714e3ea9029ea3c9a,6694,22,2,28,76,6614,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,16c025dcdcb5010b014dbca473673c78f4c594d7,6758,22,2,28,74,6680,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,1771d8e2c903847d4274963638fbae32c52bd2d8,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,1c0f4a24ade50f278a04e8b4131357488253fa6c,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,1f788201822941a3aca7fedf0bcd49d16ebc313b,6636,22,2,28,76,6556,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,20db4d4e14f962267dd1aab3f364cbf70b20d0c1,6548,22,2,28,76,6468,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,23860365816440b050e9211e1c395a966de3c403,6578,22,2,28,74,6500,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,2a469a2f5f3b7884536a7acca4c02a61e28628c3,6658,22,2,28,76,6578,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,2bb945c01ad0c18f4c9faa516f0a75e7b89043ec,6670,22,2,28,76,6590,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,2c115ed7626a236c772ee8a4eacdfa300c570e68,6694,22,2,28,76,6614,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,2c2c84e8c5d8fe8ef6b00da5bd47a54c8f5f08da,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,2f5ea60930b96b461107a564ee706aca9d00a6d3,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,3351a17195227b114a2f398241fc66751ad6a8e4,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,385e54676ca16d0132434bc9df6bc41ea8b2a0d4,6706,22,2,28,76,6626,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,3d3d715989d1a9cecc2b08fb23c695b6bb686754,6548,22,2,28,76,6468,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,3ef2a0f9580e5a4715be878c73751454089c945d,6578,22,2,28,74,6500,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,45a098fd254b6b7385e708b29a556017808ecd40,6702,22,2,28,76,6622,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,4888797c7aa9e77915474d72bfbbe1dcfe196d45,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,4c90fa9422a65438b9f33c9d780dc72c1a38c3e4,6636,22,2,28,76,6556,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,5023f2ee885a45200f5b63156a158ddf7272c29e,6706,22,2,28,76,6626,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,5051ede2ee9715f41fbbf04323b900eb74ced41c,6694,22,2,28,76,6614,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,515286e02be3e4c0ff2ef4addb34a53c4a676ee4,6766,22,2,28,74,6688,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,54aeb181a1aae54f8bba1c5c79604783956dc198,6578,22,2,28,74,6500,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,58cf6285d7299ac6dda83bbd4af8dbd019c58058,6562,22,2,28,74,6484,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,58e0b0511dc157d8bcceb4064725fe296c938832,6746,22,2,28,74,6668,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,58f170fe799ef496adae19925d7d4f0f14f8da95,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,5d530ac2423d0cc825ef66ab3c8b8563a6441281,6566,22,2,28,76,6486,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,5ef7c27aac9f96e97fa1aac0ba106bac7d3febf0,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,63d91bf0298009effc9de889f7f419f59deb3960,6664,22,2,28,76,6584,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,65d8692070aa79fca8c29cc715e4ada1a8e8298d,6638,22,2,28,76,6558,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,67a777a54dd1064c3f9038733b1ed71c6d50a6af,6578,22,2,28,74,6500,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,6890b315d00b74f372bc91f3929c803837b2ddf1,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,6b9e2fb93ba3aa73e65a34c684c7cecd8382c749,6650,22,2,28,76,6570,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,74a83017fd4114c78854b492f8f1d252083f3146,6566,22,2,28,76,6486,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,7780305bae63d8be3416858ac35f6fa706bab4d6,6768,22,2,28,74,6690,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,782b71ee81bae4c40f861d89f3ecc00d2c1c9543,6650,22,2,28,76,6570,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,785708f4a4b5a4497958fa611df78da96b311879,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,7aed2a044ce2754a53729251184d65b723ada892,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,7e3da70b6b332673aa5f74cc8e03658d0ff990b0,6664,22,2,28,76,6584,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,7e98bb899508b2a0db5015bb48dd3fdf890d5d98,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,824c102525e6a29cde9bca1ce0096d50588fda6b,6764,22,2,28,74,6686,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,863539d71e281d88a93de64581827b166d9e2f22,6654,22,2,28,76,6574,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,865618d4f786d02eeedfef578ab2cd96e7351c30,6694,22,2,28,76,6614,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,86b5481ca47cb46d3b3e079a5ed9b9fb46e315ef,6710,22,2,28,76,6630,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
seaborn,8ed641f767abf4017f86b61660bb3f84f765c37a,6658,22,2,28,76,6578,"CWE-330, CWE-94, CWE-259, CWE-20, CWE-502, CWE-377, CWE-703, CWE-327, CWE-22, CWE-78"
